bin,timestamp_index,bin_death_index,pageid,timestamp,views,views_adjusted,share
0,0,-5,69861,20200101,77547,71750,0.00004098
1,7,-4,69861,20200108,55413,51207,0.00002957
2,14,-3,69861,20200115,64474,60111,0.00003468
3,21,-2,69861,20200122,55294,51170,0.00002941
4,28,-1,69861,20200129,47058,45171,0.00002594
5,35,0,69861,20200205,2812224,2673906,0.00150106
6,42,1,69861,20200212,142068,134752,0.00007709
7,49,2,69861,20200219,159827,150389,0.00008789
8,56,3,69861,20200226,80963,77813,0.00004494
9,63,4,69861,20200304,61990,61273,0.00003504
10,70,5,69861,20200311,38793,39902,0.00002300
11,77,6,69861,20200318,38180,36225,0.00002092
12,84,7,69861,20200325,44686,37945,0.00002202
13,91,8,69861,20200401,53036,42344,0.00002449
14,98,9,69861,20200408,47053,36544,0.00002110
15,105,10,69861,20200415,48355,38974,0.00002248
16,112,11,69861,20200422,50209,40294,0.00002323
17,119,12,69861,20200429,43613,37358,0.00002154
18,126,13,69861,20200506,55285,49145,0.00002856
19,133,14,69861,20200513,46580,42838,0.00002468
20,140,15,69861,20200520,42629,40690,0.00002352
21,147,16,69861,20200527,39785,39713,0.00002293
22,154,17,69861,20200603,41027,40663,0.00002345
23,161,18,69861,20200610,38668,38995,0.00002254
24,168,19,69861,20200617,37980,39044,0.00002251
25,175,20,69861,20200624,40936,42841,0.00002476
26,182,21,69861,20200701,43293,44599,0.00002576
27,189,22,69861,20200708,37589,38622,0.00002222
28,196,23,69861,20200715,42662,43566,0.00002509
29,203,24,69861,20200722,53647,54405,0.00003174
30,210,25,69861,20200729,40764,43459,0.00002502
31,217,26,69861,20200805,39507,41977,0.00002417
32,224,27,69861,20200812,32416,33391,0.00001925
33,231,28,69861,20200819,33632,34357,0.00001985
34,238,29,69861,20200826,33559,34297,0.00001983
35,245,30,69861,20200902,32874,34570,0.00001992
36,252,31,69861,20200909,32126,33162,0.00001917
37,259,32,69861,20200916,40158,41267,0.00002397
38,266,33,69861,20200923,34810,35907,0.00002066
39,273,34,69861,20200930,31468,32589,0.00001875
40,280,35,69861,20201007,33928,33213,0.00001912
41,287,36,69861,20201014,34995,34168,0.00001972
42,294,37,69861,20201021,35320,34314,0.00001981
43,301,38,69861,20201028,41390,40425,0.00002322
44,308,39,69861,20201104,32905,29512,0.00001699
45,315,40,69861,20201111,38557,36141,0.00002078
46,322,41,69861,20201118,36964,34806,0.00002007
47,329,42,69861,20201125,37912,36382,0.00002098
48,336,43,69861,20201202,40862,40157,0.00002313
49,343,44,69861,20201209,54340,53921,0.00003096
50,350,45,69861,20201216,41228,42579,0.00002453
51,357,46,69861,20201223,69969,69785,0.00004049
52,364,47,69861,20201230,68799,66345,0.00003751
53,371,48,69861,20210106,36873,34257,0.00001983
